topic,category,participant_id,descriptions,difficulty_rating,image,is_data_visualization,languages,minivlat_answers,minivlat_time,reaction_times,self_understanding,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,CLIPScore,colour_terms,numbers_raw_count,hedge_terms,trend_terms
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,a0fc9359bba94a9da4682cfd,"The graph goes from 0-8 on the X axis and 2 on the Y Axis. The graph shows a rise until about 2x where the rate of growth diminishes, never reaching 2y.",2,prolific/train-0-28614.png,TRUE,English and Spanish,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.719433333,183926,1,45.72463333,Tetration,2,first,11,35,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,152,27,22,0.3720930233,0.6857142857,0.5400540829,0.6566573381,0,0.4837883711,0.789,0,3,1,1
InflateSail,InflateSail / Altitude loss,a40febc18f3c96d419cb71d1,"Change in mean height, in kilometers, of sail inflation during August 2017.",5,prolific/train-0-183840.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.314233333,132865,2,14.2888,InflateSail,0,first,10,15,Change in average orbit height during August 2017[11],Change in average orbit height during August 2017,75,11,8,0.6551724138,0.7037037037,0.6849581003,0.7020318508,0,0.9874690771,0.82,0,1,0,0
InflateSail,InflateSail / Altitude loss,a40febc18f3c96d419cb71d1,"Change in average height, in kilometers, of sail inflation during August 2017.",5,prolific/train-0-183840.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.314233333,14865,2,14.2888,InflateSail,0,second,10,15,Change in average orbit height during August 2017[11],Change in average orbit height during August 2017,78,11,8,0.6896551724,0.7407407407,0.6991839409,0.7143422961,0,0.9874690771,0.808,0,1,0,0
Near-infrared window in biological tissue,Near-infrared window in biological tissue / Absorption properties of tissue components / Water,a40febc18f3c96d419cb71d1,The molecular extinction coefficient(cm/M) by wavelength(nm) of eumelanin and pheomelanin. The axis ranges from 200 to 900nm. The Molecular extinction coefficient ranges from 10 to 100000 cm/M.,5,prolific/train-0-201657.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.314233333,214207,2,14.2888,Near-infrared window in biological tissue,1,first,10,36,Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.[5],Figure 3: Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.,193,15,15,0.5384615385,0.5833333333,0.6691251993,0.6516531706,0,0.9899117351,0.6514,0,3,0,0
Tiilerilaaq,Tiilerilaaq / Population,a40febc18f3c96d419cb71d1,Tileriaaq population from 1991 to 2010.,5,prolific/train-0-448110.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.314233333,69627,2,14.2888,Tiilerilaaq,2,first,10,7,Tiilerilaaq population growth dynamics in the last two decades. Source: Statistics Greenland[4],Tiilerilaaq population dynamics,39,17,3,0.4545454545,0.5833333333,0.3878493309,0.4128026366,0,0.6924266815,0.7803,0,2,0,0
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,754bf8f6c5fec82210ac28d2,"grid charges are 25.1 %, power generation or acquisition sales are at 22.4%, renewable surcharge is 21.5%, value added tax is 16%, electricity tax is 6.5%, concession fee 5%, and other levies are at 3.2%. Taxes, levies and surcharges are at a total of 53%.",5,prolific/train-0-395010.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.72155,300917,3,22.73943333,Electricity sector in Germany,0,first,12,61,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,256,9,4,0.425,0.3421052632,0.5085923672,0.519914031,0,0.8207790852,0.746,0,13,0,0
Bishop Auckland,Bishop Auckland / Demography,754bf8f6c5fec82210ac28d2,"Graph showing population vs age groups from 0 to 90+. Population of all three is highest in the groups 30 to 54, then dips significantly after.",5,prolific/train-0-245143.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.72155,288617,3,22.73943333,Bishop Auckland,1,first,12,29,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",143,32,71,0.5333333333,0.6046511628,0.4533286989,0.479901433,0,0.7968633175,0.852,0,4,0,2
Rotaviral gastroenteritis,Rotaviral gastroenteritis / Epidemiology,754bf8f6c5fec82210ac28d2,"Seasonally, uptick happens around November, in the range between 4000 and 5000, reaching a high of over 6000 in March of ‘10.",5,prolific/train-0-205301.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.72155,204578,3,22.73943333,Rotaviral gastroenteritis,2,first,12,27,The seasonal variation of rotavirus A infections in a region of England: rates of infection peak during the winter months.,A line graph with the months and years on the x-axis and the number of infections on the y-axis. The peaks in the line correspond to the winter months of the northern hemisphere.,125,22,35,0.5789473684,0.6052631579,0.2281894833,0.2899037898,0,0.4159944057,0.696,0,4,2,1
Ikerasaarsuk,Ikerasaarsuk / Population,0edf6726cc9a5ffa20ce4982,"A bar chart spanning from 1991 to 2010. 1991's population was 79, 1992's was 77, 1993's was 83, 1994's was 91, 1995's was 102, 1996's was 191, 1997's was 113, 1998's was 117, 1999's was 116, 2000's was 121, 2001's was 116, 2002's was 110, 2003's was 118, 2004's was 123, 2005's was 121, 2006's was 124, 2007's was 113, 2008's was 109, 2009's was 103, and 2010's was 106.",2,prolific/train-0-370954.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.95075,149354,2,12.2075,Ikerasaarsuk,0,first,12,111,Ikerasaarsuk population growth dynamics in the last two decades. Source: Statistics Greenland[4],Ikerasaarsuk population dynamics,370,17,3,0.4523809524,0.3783783784,0.1534021199,0.1950995922,0,0.7536988854,0.766,0,42,0,0
Breastfeeding promotion,Breastfeeding promotion / Breastfeeding promotion projects by region / Asia / India,0edf6726cc9a5ffa20ce4982,"A bar chart of some Asian countries and their percentage of early initiation of breastfeeding. India is 41.5%, Pakistan is 18%, Sri Lanka is 90.3%, Bangladesh is 50.8%, Nepal is 54.9%, and China is 26.4%.",3,prolific/train-0-119573.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.95075,70133,2,12.2075,Breastfeeding promotion,1,first,12,48,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,205,17,20,0.6363636364,0.6458333333,0.7728397846,0.7381852865,0,0.9155380726,0.803,0,11,0,0
Single crossing condition,Single crossing condition,0edf6726cc9a5ffa20ce4982,"Two cumulative distribution functions F(x) and G(x). Both of them start at (0.0, -4)and rise up at different paces until they intersect at (0.5, 0) and they converge again and then intersect once more at (1.0, 2).",5,prolific/train-0-307125.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.95075,234200,2,12.2075,Single crossing condition,2,first,12,55,Example of two cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,Example of two normal cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,213,21,22,0.7631578947,0.7631578947,0.6492502689,0.6319777966,0,0.9686145782,0.7305,0,9,0,2
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,3d8629f5c0bb93011b20d595,"graph with the x axis being numbered from 0 to 8 and the y axis being numbered from 0 to 4. There is a red line that slopes upward than flatten around (1,1)",4,prolific/train-0-28614.png,TRUE,english,"{'question1': 'False', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",2.822683333,66276,1,17.97335,Tetration,0,first,9,36,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,156,27,22,0.4,0.5135135135,0.5904407501,0.6512126923,0,0.4837883711,0.8296,1,6,1,1
Bishop Auckland,Bishop Auckland / Demography,3d8629f5c0bb93011b20d595,"The x axis is labeled age groups. The y axis is labeled % of population. This is a bar graph with dark purple, light purple, and white collared bars at each point.",5,prolific/train-0-245143.png,TRUE,english,"{'question1': 'False', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",2.822683333,44063,1,17.97335,Bishop Auckland,1,first,9,37,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",164,32,71,0.5238095238,0.641025641,0.4000806808,0.4975507855,0,0.7968633175,0.7856,1,0,0,0
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,3d8629f5c0bb93011b20d595,"This is a circle graph that contains values of grid charges (25,1%) power generation or acquisition, sales (22,4%), electricity tax (6,5%) value added tax (16%) taxes, levies, surcharges (53%) other levies (3,2%), concession fee (5,5%).",5,prolific/train-0-395010.png,TRUE,english,"{'question1': 'False', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",2.822683333,348015,1,17.97335,Electricity sector in Germany,2,first,9,62,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,236,9,4,0.4146341463,0.3333333333,0.3282813728,0.2902108133,0,0.8207790852,0.723,0,12,0,0
Colorado River,Colorado River / Discharge,41fcc70b35bff1f663eea77e,Line graph depicting the changes in flow volume of the Colorado River,2,prolific/train-0-208920.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.522666667,38763,3,6.49225,Colorado River,0,first,11,12,Annual Colorado River discharge volumes at Lee's Ferry between 1895 and 2004,The average annual discharge of the Colorado River has shown a slight but noticeable decreasing trend between 1895 and 2004.,69,13,21,0.6,0.6060606061,0.6016084552,0.5231529474,0,0.689868927,0.79,0,0,0,0
Rotaviral gastroenteritis,Rotaviral gastroenteritis / Epidemiology,41fcc70b35bff1f663eea77e,Graph depicting the variation in cases of rotavirus A infections in a region of England. Infection peaks during the winter.,2,prolific/train-0-205301.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.522666667,42365,3,6.49225,Rotaviral gastroenteritis,1,first,11,22,The seasonal variation of rotavirus A infections in a region of England: rates of infection peak during the winter months.,A line graph with the months and years on the x-axis and the number of infections on the y-axis. The peaks in the line correspond to the winter months of the northern hemisphere.,123,22,35,0.8214285714,0.6774193548,0.9011141062,0.580119729,0,0.4159944057,0.8105,0,0,0,1
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,41fcc70b35bff1f663eea77e,Pie chart breaking down how much of a power bill is used for each line item to keep the service running.,3,prolific/train-0-395010.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",3.522666667,47385,3,6.49225,Electricity sector in Germany,2,first,11,22,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,104,9,4,0.6,0.5,0.2032362819,0.1886954308,0,0.8207790852,0.7056,0,0,0,1
InflateSail,InflateSail / Altitude loss,33aebd3c7d1d64e7516d57ea,"throughout august 2017, the change in anverage orbit height decreases",4,prolific/train-0-183840.jpg,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.114016667,90491,5,9.429116667,InflateSail,0,first,10,11,Change in average orbit height during August 2017[11],Change in average orbit height during August 2017,69,11,8,0.76,0.8260869565,0.6588324308,0.6721664667,0,0.9874690771,0.7217,0,1,0,1
Colorado River,Colorado River / Discharge,33aebd3c7d1d64e7516d57ea,The annual flow volume of Colorado River decreases from 1895 to 2004,4,prolific/train-0-208920.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.114016667,46666,5,9.429116667,Colorado River,1,first,10,12,Annual Colorado River discharge volumes at Lee's Ferry between 1895 and 2004,The average annual discharge of the Colorado River has shown a slight but noticeable decreasing trend between 1895 and 2004.,68,13,21,0.7428571429,0.8709677419,0.6964617968,0.8201187849,0,0.689868927,0.847,0,2,0,1
Tiilerilaaq,Tiilerilaaq / Population,33aebd3c7d1d64e7516d57ea,The Tilerilaaq population growth has overall decreased from 1991 to 2010,3,prolific/train-0-448110.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.114016667,46701,5,9.429116667,Tiilerilaaq,2,first,10,11,Tiilerilaaq population growth dynamics in the last two decades. Source: Statistics Greenland[4],Tiilerilaaq population dynamics,72,17,3,0.5882352941,0.6296296296,0.5723327398,0.5560837984,0,0.6924266815,0.749,0,2,0,1
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,bce45e477b8411daa67b2450,The different average values and prices of a household in Germany,3,prolific/train-0-395010.png,FALSE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.110283333,289250,2,16.48428333,Electricity sector in Germany,0,first,9,11,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,65,9,4,0.7037037037,0.6,0.7215261459,0.5606010556,0,0.8207790852,0.7207,0,0,0,0
Rotaviral gastroenteritis,Rotaviral gastroenteritis / Epidemiology,bce45e477b8411daa67b2450,"Rates of the seasonal rotavirus A infection in England, infection always peaks during colder weather",2,prolific/train-0-205301.png,TRUE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.110283333,101796,2,16.48428333,Rotaviral gastroenteritis,1,first,9,16,The seasonal variation of rotavirus A infections in a region of England: rates of infection peak during the winter months.,A line graph with the months and years on the x-axis and the number of infections on the y-axis. The peaks in the line correspond to the winter months of the northern hemisphere.,101,22,35,0.7586206897,0.6774193548,0.9327694178,0.3815521002,0,0.4159944057,0.8096,0,0,0,1
Tiilerilaaq,Tiilerilaaq / Population,bce45e477b8411daa67b2450,Growth of the Tiilerilaaq population in the last two decades has substantially slowed down,2,prolific/train-0-448110.png,FALSE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.110283333,86993,2,16.48428333,Tiilerilaaq,2,first,9,14,Tiilerilaaq population growth dynamics in the last two decades. Source: Statistics Greenland[4],Tiilerilaaq population dynamics,90,17,3,0.6666666667,0.7391304348,0.6184226274,0.6665227413,0,0.6924266815,0.725,0,0,0,1
Rotaviral gastroenteritis,Rotaviral gastroenteritis / Epidemiology,e712e802bb6751cfb5fadb30,It is a graph with a lot of variation of information,3,prolific/train-0-205301.png,TRUE,English,"{'question1': 'True', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",7.56675,221337,3,21.38603333,Rotaviral gastroenteritis,0,first,5,11,The seasonal variation of rotavirus A infections in a region of England: rates of infection peak during the winter months.,A line graph with the months and years on the x-axis and the number of infections on the y-axis. The peaks in the line correspond to the winter months of the northern hemisphere.,52,22,35,0.5925925926,0.5172413793,0.02932323888,0.3538020253,0,0.4159944057,0.7134,0,0,0,0
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,e712e802bb6751cfb5fadb30,graph showing the average electricity in Germany,4,prolific/train-0-395010.png,TRUE,English,"{'question1': 'True', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",7.56675,41112,3,21.38603333,Electricity sector in Germany,1,first,5,7,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,48,9,4,0.5925925926,0.6818181818,0.7186746597,0.6592077017,0,0.8207790852,0.8027,0,0,0,0
Nanortalik,Nanortalik / Population,e712e802bb6751cfb5fadb30,"Nanortalik population growth graphs, 1991-2010.",2,prolific/train-0-283458.png,TRUE,English,"{'question1': 'True', 'question10': '$0.80', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Japan', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Skip', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",7.56675,46799,3,21.38603333,Nanortalik,2,first,5,7,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,47,14,3,0.696969697,0.4814814815,0.762958467,0.7772010565,0,0.6886775494,0.7427,0,2,0,0
Breastfeeding promotion,Breastfeeding promotion / Breastfeeding promotion projects by region / Asia / India,e74b6387cb91a9afb79f1b9b,"Graph of early initiation of breasfeeding in various countries. India 41.5%, Pakistan 18%, Sri Lanka 90.3%, Bangladesh 50.8%, Nepal 54.9%, china 26.4%",3,prolific/train-0-119573.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",8.458633333,246136,1,21.39968333,Breastfeeding promotion,0,first,8,34,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,150,17,20,0.6136363636,0.6595744681,0.3014033437,0.3535347879,0,0.9155380726,0.8086,0,11,0,0
Breastfeeding promotion,Breastfeeding promotion / Breastfeeding promotion projects by region / Asia / India,e74b6387cb91a9afb79f1b9b,"Graph of early initiation of breastfeeding in various countries. India 41.5%, Pakistan 18%, Sri Lanka 90.3%, Bangladesh 50.8%, Nepal 54.9%, china 26.4%",3,prolific/train-0-119573.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",8.458633333,6668,1,21.39968333,Breastfeeding promotion,0,second,8,34,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,151,17,20,0.6136363636,0.6595744681,0.8048228025,0.7833349109,0,0.9155380726,0.8125,0,11,0,0
Single crossing condition,Single crossing condition,e74b6387cb91a9afb79f1b9b,Example of two cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition. F(x) and G(x) are the same,5,prolific/train-0-307125.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",8.458633333,117231,1,21.39968333,Single crossing condition,1,first,8,33,Example of two cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,Example of two normal cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,134,21,22,1,1,0.9597753882,0.9300912619,0,0.9686145782,0.747,0,0,0,0
Colorado River,Colorado River / Discharge,e74b6387cb91a9afb79f1b9b,"Annual flow volume up to 25 million of acre feet, against years from 1890 to 2010. 1900 has early 20th century drought, also noted 1930's drought, mid-century drought and early 21st century drought. scribbley lines.",5,prolific/train-0-208920.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': 'Skip', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",8.458633333,182114,1,21.39968333,Colorado River,2,first,8,42,Annual Colorado River discharge volumes at Lee's Ferry between 1895 and 2004,The average annual discharge of the Colorado River has shown a slight but noticeable decreasing trend between 1895 and 2004.,215,13,21,0.7179487179,0.6842105263,0.378582418,0.3901471496,0,0.689868927,0.7188,0,5,0,1
Ikerasaarsuk,Ikerasaarsuk / Population,a19d927e170ac059a0411c8e,"The image shows a graph of the increase in growth dynamics in the last two decades. The image shows blue blocks parallel to each other, blocks varying in sizes depending on the the size of the population growth in a specific year. Each year is labeled under each blue block from 1991-2010.",2,prolific/train-0-370954.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '20-30 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.761366667,440268,2,42.67931667,Ikerasaarsuk,0,first,8,56,Ikerasaarsuk population growth dynamics in the last two decades. Source: Statistics Greenland[4],Ikerasaarsuk population dynamics,289,17,3,0.525,0.5,0.4142240584,0.3587738276,0,0.7536988854,0.811,2,2,0,1
Elections in Croatia,Elections in Croatia / Parliamentary elections / Previous parliamentary elections,a19d927e170ac059a0411c8e,"The image shows a graph with individual lines mapped horizontally. There are six lines each representing a party. 
 HDZ: dark blue
 SDP: red
 HNS: orange
 HSLS: yellow
 HSS: green
 MOST: orange
 Others: gray
 The left side is a vertical row listing the number of wins. The bottom of the graph shows the years of each party. The number of wins of each party is determined by where the lines falls on the graph vertically and the place it falls horizontally shows its year.",5,prolific/train-0-472392.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '20-30 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.761366667,815065,2,42.67931667,Elections in Croatia,1,first,8,95,"Croatian parliamentary election results, 1992–2016; parties winning 10 or more seats in any one election shown individually","Graph of Croatian election results, using differently-colored lines",463,19,9,0.4255319149,0.4285714286,0.2919031084,0.5718461275,0,0.612041831,0.8877,7,0,0,3
